Amaya|amaya|
AmigaVoyager|AmigaVoyager|
Avant|AvantBrowser|
Bolt|Bolt|
Camino 2|Camino/2|
Camino|Camino|
Epiphany|Epiphany|
Iron|Iron|
Maemo Browser|MaemoBrowser|
QQBrowser|QQBrowser|
RockMelt|RockMelt|
Comodo Dragon|Comodo_Dragon|
Dillo|Dillo|
Dooble|Dooble|
Tizen Browser|TizenBrowser|
Dolfin 4|Dolfin/4.|
Dolfin 3|Dolfin/3.|
Dolfin 2|Dolfin/2.|
Dolfin 1|Dolfin/1.|
Samsung Dolfin|Dolfin|
Dolphin|Dolphin|
Elinks|Elinks|
Epic|Epic|
Ensemble2|Ensemble2|
Fennec|Fennec|
Fitel Browser|Fitel5Browser|
Free Video Downloader Plus Plus|VideoDownloaderFree_BenStevenson|
Iceweasel|Iceweasel|
Swiftfox|Swiftfox|
Pirate Browser|PB0.|
CometBird|CometBird|
SeaMonkey|SeaMonkey|
Shiira|Shiira|
Slim Browser|SlimBrowser|
SlimBoat|SlimBoat|
SWare Iron|Iron/|
Swiftweasel|Swiftweasel|
Thunderbird|Thunderbird|
TinyBrowser|TinyBrowser|
Vienna|Vienna|
Beamrise|Beamrise|
Maxthon 4|Maxthon/4|
Maxthon 3|Maxthon/3|
Maxthon 2|Maxthon/2|
Maxthon|Maxthon|
Sleipnir|Sleipnir|
Flock|Flock|
Galeon|Galeon|
iCab|iCab|
Maven|Maven|
Maven Plus|MavenPlus|
Tencent Traveler|TencentTraveler|
UC Browser|UCBrowser|
UC Browser|UCWEB|
Obigo|ObigoInternetBrowser|
Ovi|OviBrowser|
Ibrowse|Ibrowse|
Samsung Jasmine|Jasmine|
K-Meleon|K-Meleon|
Konqueror 3.5|Konqueror/3.5|
Konqueror 3|Konqueror/3|
Konqueror|Konqueror|
Links|Links|
Lunascape|Lunascape|
Lynx|Lynx|
Lobo|Lobo|
Midori 0.4|Midori/0.4|
Midori 0.3|Midori/0.3|
Midori 0.2|Midori/0.2|
Midori 0.1|Midori/0.1|
Midori|Midori|
NetFront|NetFront|
NewsCopier|NewsCopier|
NewsGator|newsgator|
OffByOne|OffByOne|
OmniWeb|OmniWeb|
Obigo|Obigo|
Openwave Nobile browser|Openwave|
Openwave Nobile browser|UP.Browser|
Orca|Orca|
PhaseOut|PhaseOut|
Pocket Internet Explorer|MicrosoftPocketInternetExplorer|
Pocket Internet Explorer|MSPIE|
QupZilla|QupZilla|
Reeder Mac OS X|Reeder/1010|
Reeder iOS|Reeder/2.5|
Mercury|Mercury|
Smart Hub|SmartHub|
Silk|Silk|
Superbird|Superbird|
webOS Browser|wOSBrowser|
Yandex Browser|YaBrowser|
PhantomJS|PhantomJS|
Net TV Philips|NETTV|
HbbTV|HbbTV|
Opera Next|EditionNext|
Opera Mobile 12|Presto/2.11.355Version/12|
Opera Mobile 12|Presto/2.10.254Version/12|
Opera Mobile 11|Presto/2.9.201Version/11|
Opera Mobile 10|Presto/2.4.18Version/10|
Opera Mobile 10|Presto/2.5.28Version/10|
Opera Mini 9|OperaMini/9|
Opera Mini 8|OperaMini/8|
Opera Mini 7|OperaMini/7|
Opera Mini 6|OperaMini/6|
Opera Mini 5|OperaMini/5|
Opera Mini 4|OperaMini/4|
Opera Mini|OperaMini|
Opera 29|OPR/29|
Opera 28|OPR/28|
Opera 27|OPR/27|
Opera 26|OPR/26|
Opera 25|OPR/25|
Opera 24|OPR/24|
Opera 23|OPR/23|
Opera 22|OPR/22|
Opera 21|OPR/21|
Opera 20|OPR/20|
Opera 19|OPR/19|
Opera 18|OPR/18|
Opera 17|OPR/17|
Opera 16|OPR/16|
Opera 15|OPR/15|
Opera 14|OPR/14|
Opera 13|OPR/13|
Opera 12|Presto/2.11.310Version/12|
Opera 12|Presto/2.12.388Version/12|
Opera 12|Presto/2.10.289Version/12|
Opera 12|Presto/2.9.211Version/12.00|
Opera 12|Presto/2.9.181Version/12|
Opera 12|Opera/12|
Opera 12|Opera12|
Opera 11|Presto/2.7.62Version/11|
Opera 11|Presto/2.8.131Version/11|
Opera 11|Presto/2.9.168Version/11.50|
Opera 11|Opera11|
Opera 11|Opera/11|
Opera 11|Version/11|
Opera 10|Presto/2.2.15Version/10|
Opera 10|Presto/2.2.2|
Opera 10|Presto/2.5|
Opera 10|Presto/2.6|
Opera 10|Opera10|
Opera 10|Opera/10|
Opera 8|Opera/8|
Opera 8|Opera8|
Opera 7|Opera7|
Opera 7|Opera/7|
Nintendo DSi Browser|Opera/507|
Opera 9|Presto/9.9.9|
Opera 9|Opera/9|
Opera 9|Opera9|
Opera|Opera|
Nokia 8|NokiaBrowser/8|
Nokia 7|NokiaBrowser/7|
Nokia 7|BrowserNG/7|
Safari Mobile 8.0|Safari/600.1.4|
Safari Mobile 7.1|Version/7.1.0.1011MobileSafari|
Safari Mobile 7.1|Version/7.1.0.714MobileSafari|
Safari Mobile 7.1|Version/7.1.0.694MobileSafari|
Safari Mobile 7.1|Version/7.1.0.523MobileSafari|
Safari Mobile 7.1|Version/7.1.0.398MobileSafari|
Safari Mobile 7.1|Version/7.1.0.342MobileSafari|
Safari Mobile 7.1|Version/7.1.0.336MobileSafari|
Safari Mobile 7.1|Version/7.1.0.258MobileSafari|
Safari Mobile 7.1|Version/7.1.0.205MobileSafari|
Safari Mobile 7.1|Version/7.1.0.190MobileSafari|
Safari Mobile 7.0|Version/7.0Mobile|
Safari Mobile 7.0|Version/7.0.0.594MobileSafari|
Safari Mobile 7.0|Version/7.0.0.590MobileSafari|
Safari Mobile 7.0|Version/7.0.0.585MobileSafari|
Safari Mobile 7.0|Version/7.0.0.579MobileSafari|
Safari Mobile 7.0|Version/7.0.0.557MobileSafari|
Safari Mobile 7.0|Version/7.0.0.540MobileSafari|
Safari Mobile 7.0|Version/7.0.0.530MobileSafari|
Safari Mobile 7.0|Version/7.0.0.528MobileSafari|
Safari Mobile 7.0|Version/7.0.0.513MobileSafari|
Safari Mobile 7.0|Version/7.0.0.400MobileSafari|
Safari Mobile 7.0|Version/7.0.0.353MobileSafari|
Safari Mobile 7.0|Version/7.0.0.296MobileSafari|
Safari Mobile 7.0|Version/7.0Mobile/11A4449aSafari|
Safari Mobile 6.1|MobileSafari/537|
Safari Mobile 6.0|Safari/536.2+|
Safari Mobile 6.0|Safari/8536.25|
Safari Mobile 6.0|Version/6.0.0.570MobileSafari|
Safari Mobile 6.0|Version/6.0.0.526 MobileSafari|
Safari Mobile 6.0|Version/6.0.0.546MobileSafari|
Safari Mobile 5.1|MobileSafari/535.19|
Safari Mobile 5.1|MobileSafari/534.8|
Safari Mobile 5.1|MobileSafari/534.3|
Safari Mobile 5.1|MobileSafari/534.1|
Safari Mobile 5.1|Safari/7534.48.3|
Safari Mobile 5.1|Version/5.1Mobile|
